
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,36,,117,,
Number of Disconnected Components per Time Point,36,,118,,
Number of Disconnected Components per Time Point,39,,119,,
Number of Disconnected Components per Time Point,36,,120,,
Number of Disconnected Components per Time Point,38,,121,,
Number of Disconnected Components per Time Point,37,,122,,
Number of Disconnected Components per Time Point,38,,123,,
Number of Disconnected Components per Time Point,39,,124,,
Number of Disconnected Components per Time Point,36,,125,,
Number of Disconnected Components per Time Point,36,,126,,
Number of Disconnected Components per Time Point,35,,127,,
Number of Disconnected Components per Time Point,37,,128,,
Number of Disconnected Components per Time Point,41,,129,,
Number of Disconnected Components per Time Point,37,,130,,
Number of Disconnected Components per Time Point,36,,131,,
Number of Disconnected Components per Time Point,36,,132,,
Number of Disconnected Components per Time Point,37,,133,,
Number of Disconnected Components per Time Point,36,,134,,
Number of Disconnected Components per Time Point,37,,135,,
Number of Disconnected Components per Time Point,37,,136,,
Number of Disconnected Components per Time Point,35,,137,,
Number of Disconnected Components per Time Point,35,,138,,
Number of Disconnected Components per Time Point,37,,139,,
Number of Disconnected Components per Time Point,37,,140,,
Number of Disconnected Components per Time Point,32,,141,,
Number of Disconnected Components per Time Point,38,,142,,
Number of Disconnected Components per Time Point,38,,143,,
Number of Disconnected Components per Time Point,42,,144,,
Number of Disconnected Components per Time Point,36,,145,,
Number of Disconnected Components per Time Point,37,,146,,
Number of Disconnected Components per Time Point,36,,147,,
Number of Disconnected Components per Time Point,35,,148,,
Number of Disconnected Components per Time Point,37,,149,,
Number of Disconnected Components per Time Point,38,,150,,
Number of Disconnected Components per Time Point,36,,151,,
Number of Disconnected Components per Time Point,38,,152,,
Number of Disconnected Components per Time Point,36,,153,,
Number of Disconnected Components per Time Point,38,,154,,
Number of Disconnected Components per Time Point,37,,155,,
Number of Disconnected Components per Time Point,36,,156,,
Number of Disconnected Components per Time Point,38,,157,,
Number of Disconnected Components per Time Point,32,,158,,
Number of Disconnected Components per Time Point,33,,159,,
Number of Disconnected Components per Time Point,35,,160,,
Number of Disconnected Components per Time Point,36,,161,,
Number of Disconnected Components per Time Point,34,,162,,
Number of Disconnected Components per Time Point,36,,163,,
Number of Disconnected Components per Time Point,33,,164,,
Number of Disconnected Components per Time Point,38,,165,,
Number of Disconnected Components per Time Point,37,,166,,
Number of Disconnected Components per Time Point,37,,167,,
Number of Disconnected Components per Time Point,34,,168,,
Number of Disconnected Components per Time Point,34,,169,,
Number of Disconnected Components per Time Point,34,,170,,
Number of Disconnected Components per Time Point,36,,171,,
Number of Disconnected Components per Time Point,36,,172,,
Number of Disconnected Components per Time Point,34,,173,,
Number of Disconnected Components per Time Point,33,,174,,
Number of Disconnected Components per Time Point,35,,175,,
Number of Disconnected Components per Time Point,34,,176,,
Number of Disconnected Components per Time Point,38,,177,,
Number of Disconnected Components per Time Point,37,,178,,
Number of Disconnected Components per Time Point,33,,179,,
Number of Disconnected Components per Time Point,38,,180,,
Number of Disconnected Components per Time Point,35,,181,,
Number of Disconnected Components per Time Point,39,,182,,
Number of Disconnected Components per Time Point,36,,183,,
Number of Disconnected Components per Time Point,37,,184,,
Number of Disconnected Components per Time Point,36,,185,,
Number of Disconnected Components per Time Point,35,,186,,
Number of Disconnected Components per Time Point,36,,187,,
Number of Disconnected Components per Time Point,38,,188,,
Number of Disconnected Components per Time Point,37,,189,,
Number of Disconnected Components per Time Point,38,,190,,
Number of Disconnected Components per Time Point,36,,191,,
Number of Disconnected Components per Time Point,35,,192,,
Number of Disconnected Components per Time Point,37,,193,,
Number of Disconnected Components per Time Point,35,,194,,
Number of Disconnected Components per Time Point,35,,195,,
Number of Disconnected Components per Time Point,36,,196,,
Number of Disconnected Components per Time Point,36,,197,,
Number of Disconnected Components per Time Point,35,,198,,
Number of Disconnected Components per Time Point,37,,199,,
Number of Disconnected Components per Time Point,40,,200,,
Number of Disconnected Components per Time Point,38,,201,,
Number of Disconnected Components per Time Point,41,,202,,
Number of Disconnected Components per Time Point,42,,203,,
Number of Disconnected Components per Time Point,37,,204,,
Number of Disconnected Components per Time Point,36,,205,,
Number of Disconnected Components per Time Point,40,,206,,
Number of Disconnected Components per Time Point,36,,207,,
Number of Disconnected Components per Time Point,36,,208,,
Number of Disconnected Components per Time Point,33,,209,,
Number of Disconnected Components per Time Point,34,,210,,
Number of Disconnected Components per Time Point,30,,211,,
Number of Disconnected Components per Time Point,30,,212,,
Number of Disconnected Components per Time Point,28,,213,,
Number of Disconnected Components per Time Point,32,,214,,
Number of Disconnected Components per Time Point,33,,215,,
Number of Disconnected Components per Time Point,37,,216,,
Number of Disconnected Components per Time Point,35,,217,,
Number of Disconnected Components per Time Point,36,,218,,
Number of Disconnected Components per Time Point,38,,219,,
Number of Disconnected Components per Time Point,38,,220,,
Number of Disconnected Components per Time Point,33,,221,,
Number of Disconnected Components per Time Point,35,,222,,
Number of Disconnected Components per Time Point,35,,223,,
Number of Disconnected Components per Time Point,35,,224,,
Number of Disconnected Components per Time Point,40,,225,,
Number of Disconnected Components per Time Point,39,,226,,
Number of Disconnected Components per Time Point,38,,227,,
Number of Disconnected Components per Time Point,37,,228,,
Number of Disconnected Components per Time Point,34,,229,,
Number of Disconnected Components per Time Point,34,,230,,
Number of Disconnected Components per Time Point,37,,231,,
Number of Disconnected Components per Time Point,40,,232,,
Number of Disconnected Components per Time Point,33,,233,,
Number of Disconnected Components per Time Point,35,,234,,
Number of Disconnected Components per Time Point,36,,235,,
Number of Disconnected Components per Time Point,34,,236,,
Number of Disconnected Components per Time Point,35,,237,,
Number of Disconnected Components per Time Point,35,,238,,
Number of Disconnected Components per Time Point,37,,239,,
Number of Disconnected Components per Time Point,34,,240,,
Number of Disconnected Components per Time Point,39,,241,,
Number of Disconnected Components per Time Point,33,,242,,
Number of Disconnected Components per Time Point,34,,243,,
Number of Disconnected Components per Time Point,36,,244,,
Number of Disconnected Components per Time Point,35,,245,,
Number of Disconnected Components per Time Point,33,,246,,
Number of Disconnected Components per Time Point,34,,247,,
Number of Disconnected Components per Time Point,33,,248,,
Number of Disconnected Components per Time Point,34,,249,,
Number of Disconnected Components per Time Point,34,,250,,
Number of Disconnected Components per Time Point,35,,251,,
Number of Disconnected Components per Time Point,33,,252,,
Number of Disconnected Components per Time Point,35,,253,,
Number of Disconnected Components per Time Point,34,,254,,
Number of Disconnected Components per Time Point,32,,255,,
Number of Disconnected Components per Time Point,35,,256,,
Number of Disconnected Components per Time Point,34,,257,,
Number of Disconnected Components per Time Point,35,,258,,
Number of Disconnected Components per Time Point,35,,259,,
Number of Disconnected Components per Time Point,33,,260,,
Number of Disconnected Components per Time Point,37,,261,,
Number of Disconnected Components per Time Point,37,,262,,
Number of Disconnected Components per Time Point,35,,263,,
Number of Disconnected Components per Time Point,35,,264,,
Number of Disconnected Components per Time Point,36,,265,,
Number of Disconnected Components per Time Point,30,,266,,
Number of Disconnected Components per Time Point,34,,267,,
Number of Disconnected Components per Time Point,31,,268,,
Number of Disconnected Components per Time Point,31,,269,,
Number of Disconnected Components per Time Point,30,,270,,
Number of Disconnected Components per Time Point,28,,271,,
Number of Disconnected Components per Time Point,28,,272,,
Number of Disconnected Components per Time Point,31,,273,,
Number of Disconnected Components per Time Point,28,,274,,
Number of Disconnected Components per Time Point,30,,275,,
Number of Disconnected Components per Time Point,31,,276,,
Number of Disconnected Components per Time Point,28,,277,,
Number of Disconnected Components per Time Point,30,,278,,
Number of Disconnected Components per Time Point,29,,279,,
Number of Disconnected Components per Time Point,36,,280,,
Number of Disconnected Components per Time Point,35,,281,,
Number of Disconnected Components per Time Point,29,,282,,
Number of Disconnected Components per Time Point,32,,283,,
Number of Disconnected Components per Time Point,30,,284,,
Number of Disconnected Components per Time Point,30,,285,,
Number of Disconnected Components per Time Point,28,,286,,
Number of Disconnected Components per Time Point,30,,287,,
Number of Disconnected Components per Time Point,27,,288,,
Number of Disconnected Components per Time Point,27,,289,,
Number of Disconnected Components per Time Point,27,,290,,
Number of Disconnected Components per Time Point,28,,291,,
Number of Disconnected Components per Time Point,25,,292,,
Number of Disconnected Components per Time Point,28,,293,,
Number of Disconnected Components per Time Point,26,,294,,
Number of Disconnected Components per Time Point,25,,295,,
Number of Disconnected Components per Time Point,29,,296,,
Number of Disconnected Components per Time Point,26,,297,,
Number of Disconnected Components per Time Point,24,,298,,
Number of Disconnected Components per Time Point,25,,299,,
Number of Disconnected Components per Time Point,27,,300,,
Number of Disconnected Components per Time Point,25,,301,,
Number of Surfaces per Time Point,34,,1,,
Number of Surfaces per Time Point,34,,2,,
Number of Surfaces per Time Point,34,,3,,
Number of Surfaces per Time Point,36,,4,,
Number of Surfaces per Time Point,35,,5,,
Number of Surfaces per Time Point,35,,6,,
Number of Surfaces per Time Point,34,,7,,
Number of Surfaces per Time Point,34,,8,,
Number of Surfaces per Time Point,34,,9,,
Number of Surfaces per Time Point,34,,10,,
Number of Surfaces per Time Point,35,,11,,
Number of Surfaces per Time Point,35,,12,,
Number of Surfaces per Time Point,35,,13,,
Number of Surfaces per Time Point,35,,14,,
Number of Surfaces per Time Point,36,,15,,
Number of Surfaces per Time Point,35,,16,,
Number of Surfaces per Time Point,35,,17,,
Number of Surfaces per Time Point,35,,18,,
Number of Surfaces per Time Point,35,,19,,
Number of Surfaces per Time Point,36,,20,,
Number of Surfaces per Time Point,35,,21,,
Number of Surfaces per Time Point,35,,22,,
Number of Surfaces per Time Point,34,,23,,
Number of Surfaces per Time Point,35,,24,,
Number of Surfaces per Time Point,35,,25,,
Number of Surfaces per Time Point,36,,26,,
Number of Surfaces per Time Point,36,,27,,
Number of Surfaces per Time Point,36,,28,,
Number of Surfaces per Time Point,37,,29,,
Number of Surfaces per Time Point,35,,30,,
Number of Surfaces per Time Point,35,,31,,
Number of Surfaces per Time Point,35,,32,,
Number of Surfaces per Time Point,36,,33,,
Number of Surfaces per Time Point,35,,34,,
Number of Surfaces per Time Point,36,,35,,
Number of Surfaces per Time Point,36,,36,,
Number of Surfaces per Time Point,36,,37,,
Number of Surfaces per Time Point,36,,38,,
Number of Surfaces per Time Point,35,,39,,
Number of Surfaces per Time Point,36,,40,,
Number of Surfaces per Time Point,36,,41,,
Number of Surfaces per Time Point,36,,42,,
Number of Surfaces per Time Point,36,,43,,
Number of Surfaces per Time Point,36,,44,,
Number of Surfaces per Time Point,36,,45,,
Number of Surfaces per Time Point,37,,46,,
Number of Surfaces per Time Point,36,,47,,
Number of Surfaces per Time Point,36,,48,,
Number of Surfaces per Time Point,36,,49,,
Number of Surfaces per Time Point,36,,50,,
Number of Surfaces per Time Point,36,,51,,
Number of Surfaces per Time Point,36,,52,,
Number of Surfaces per Time Point,36,,53,,
Number of Surfaces per Time Point,35,,54,,
Number of Surfaces per Time Point,36,,55,,
Number of Surfaces per Time Point,36,,56,,
Number of Surfaces per Time Point,37,,57,,
Number of Surfaces per Time Point,37,,58,,
Number of Surfaces per Time Point,36,,59,,
Number of Surfaces per Time Point,36,,60,,
Number of Surfaces per Time Point,37,,61,,
Number of Surfaces per Time Point,36,,62,,
Number of Surfaces per Time Point,37,,63,,
Number of Surfaces per Time Point,38,,64,,
Number of Surfaces per Time Point,39,,65,,
Number of Surfaces per Time Point,36,,66,,
Number of Surfaces per Time Point,36,,67,,
Number of Surfaces per Time Point,38,,68,,
Number of Surfaces per Time Point,37,,69,,
Number of Surfaces per Time Point,36,,70,,
Number of Surfaces per Time Point,35,,71,,
Number of Surfaces per Time Point,36,,72,,
Number of Surfaces per Time Point,34,,73,,
Number of Surfaces per Time Point,36,,74,,
Number of Surfaces per Time Point,36,,75,,
Number of Surfaces per Time Point,35,,76,,
Number of Surfaces per Time Point,34,,77,,
Number of Surfaces per Time Point,38,,78,,
Number of Surfaces per Time Point,36,,79,,
Number of Surfaces per Time Point,36,,80,,
Number of Surfaces per Time Point,37,,81,,
Number of Surfaces per Time Point,37,,82,,
Number of Surfaces per Time Point,35,,83,,
Number of Surfaces per Time Point,37,,84,,
Number of Surfaces per Time Point,36,,85,,
Number of Surfaces per Time Point,35,,86,,
Number of Surfaces per Time Point,34,,87,,
Number of Surfaces per Time Point,36,,88,,
Number of Surfaces per Time Point,36,,89,,
Number of Surfaces per Time Point,33,,90,,
Number of Surfaces per Time Point,35,,91,,
Number of Surfaces per Time Point,34,,92,,
Number of Surfaces per Time Point,35,,93,,
Number of Surfaces per Time Point,36,,94,,
Number of Surfaces per Time Point,36,,95,,
Number of Surfaces per Time Point,34,,96,,
Number of Surfaces per Time Point,35,,97,,
Number of Surfaces per Time Point,37,,98,,
Number of Surfaces per Time Point,34,,99,,
Number of Surfaces per Time Point,34,,100,,
Number of Surfaces per Time Point,36,,101,,
Number of Surfaces per Time Point,35,,102,,
Number of Surfaces per Time Point,38,,103,,
Number of Surfaces per Time Point,37,,104,,
Number of Surfaces per Time Point,36,,105,,
Number of Surfaces per Time Point,34,,106,,
Number of Surfaces per Time Point,35,,107,,
Number of Surfaces per Time Point,36,,108,,
Number of Surfaces per Time Point,35,,109,,
Number of Surfaces per Time Point,38,,110,,
Number of Surfaces per Time Point,36,,111,,
Number of Surfaces per Time Point,35,,112,,
Number of Surfaces per Time Point,34,,113,,
Number of Surfaces per Time Point,33,,114,,
Number of Surfaces per Time Point,34,,115,,
Number of Surfaces per Time Point,36,,116,,
Number of Surfaces per Time Point,36,,117,,
Number of Surfaces per Time Point,36,,118,,
Number of Surfaces per Time Point,39,,119,,
Number of Surfaces per Time Point,36,,120,,
Number of Surfaces per Time Point,38,,121,,
Number of Surfaces per Time Point,37,,122,,
Number of Surfaces per Time Point,38,,123,,
Number of Surfaces per Time Point,39,,124,,
Number of Surfaces per Time Point,36,,125,,
Number of Surfaces per Time Point,36,,126,,
Number of Surfaces per Time Point,35,,127,,
Number of Surfaces per Time Point,37,,128,,
Number of Surfaces per Time Point,41,,129,,
Number of Surfaces per Time Point,37,,130,,
Number of Surfaces per Time Point,36,,131,,
Number of Surfaces per Time Point,36,,132,,
Number of Surfaces per Time Point,37,,133,,
Number of Surfaces per Time Point,36,,134,,
Number of Surfaces per Time Point,37,,135,,
Number of Surfaces per Time Point,37,,136,,
Number of Surfaces per Time Point,35,,137,,
Number of Surfaces per Time Point,35,,138,,
Number of Surfaces per Time Point,37,,139,,
Number of Surfaces per Time Point,37,,140,,
Number of Surfaces per Time Point,32,,141,,
Number of Surfaces per Time Point,38,,142,,
Number of Surfaces per Time Point,38,,143,,
Number of Surfaces per Time Point,42,,144,,
Number of Surfaces per Time Point,36,,145,,
Number of Surfaces per Time Point,37,,146,,
Number of Surfaces per Time Point,36,,147,,
Number of Surfaces per Time Point,35,,148,,
Number of Surfaces per Time Point,37,,149,,
Number of Surfaces per Time Point,38,,150,,
Number of Surfaces per Time Point,36,,151,,
Number of Surfaces per Time Point,38,,152,,
Number of Surfaces per Time Point,36,,153,,
Number of Surfaces per Time Point,38,,154,,
Number of Surfaces per Time Point,37,,155,,
Number of Surfaces per Time Point,36,,156,,
Number of Surfaces per Time Point,38,,157,,
Number of Surfaces per Time Point,32,,158,,
Number of Surfaces per Time Point,33,,159,,
Number of Surfaces per Time Point,35,,160,,
Number of Surfaces per Time Point,36,,161,,
Number of Surfaces per Time Point,34,,162,,
Number of Surfaces per Time Point,36,,163,,
Number of Surfaces per Time Point,33,,164,,
Number of Surfaces per Time Point,38,,165,,
Number of Surfaces per Time Point,37,,166,,
Number of Surfaces per Time Point,37,,167,,
Number of Surfaces per Time Point,34,,168,,
Number of Surfaces per Time Point,34,,169,,
Number of Surfaces per Time Point,34,,170,,
Number of Surfaces per Time Point,36,,171,,
Number of Surfaces per Time Point,36,,172,,
Number of Surfaces per Time Point,34,,173,,
Number of Surfaces per Time Point,33,,174,,
Number of Surfaces per Time Point,35,,175,,
Number of Surfaces per Time Point,34,,176,,
Number of Surfaces per Time Point,38,,177,,
Number of Surfaces per Time Point,37,,178,,
Number of Surfaces per Time Point,33,,179,,
Number of Surfaces per Time Point,38,,180,,
Number of Surfaces per Time Point,35,,181,,
Number of Surfaces per Time Point,39,,182,,
Number of Surfaces per Time Point,36,,183,,
Number of Surfaces per Time Point,37,,184,,
Number of Surfaces per Time Point,36,,185,,
Number of Surfaces per Time Point,35,,186,,
Number of Surfaces per Time Point,36,,187,,
Number of Surfaces per Time Point,38,,188,,
Number of Surfaces per Time Point,37,,189,,
Number of Surfaces per Time Point,38,,190,,
Number of Surfaces per Time Point,36,,191,,
Number of Surfaces per Time Point,35,,192,,
Number of Surfaces per Time Point,37,,193,,
Number of Surfaces per Time Point,35,,194,,
Number of Surfaces per Time Point,35,,195,,
Number of Surfaces per Time Point,36,,196,,
Number of Surfaces per Time Point,36,,197,,
Number of Surfaces per Time Point,35,,198,,
Number of Surfaces per Time Point,37,,199,,
Number of Surfaces per Time Point,40,,200,,
Number of Surfaces per Time Point,38,,201,,
Number of Surfaces per Time Point,41,,202,,
Number of Surfaces per Time Point,42,,203,,
Number of Surfaces per Time Point,37,,204,,
Number of Surfaces per Time Point,36,,205,,
Number of Surfaces per Time Point,40,,206,,
Number of Surfaces per Time Point,36,,207,,
Number of Surfaces per Time Point,36,,208,,
Number of Surfaces per Time Point,33,,209,,
Number of Surfaces per Time Point,34,,210,,
Number of Surfaces per Time Point,30,,211,,
Number of Surfaces per Time Point,30,,212,,
Number of Surfaces per Time Point,28,,213,,
Number of Surfaces per Time Point,32,,214,,
Number of Surfaces per Time Point,33,,215,,
Number of Surfaces per Time Point,37,,216,,
Number of Surfaces per Time Point,35,,217,,
Number of Surfaces per Time Point,36,,218,,
Number of Surfaces per Time Point,38,,219,,
Number of Surfaces per Time Point,38,,220,,
Number of Surfaces per Time Point,33,,221,,
Number of Surfaces per Time Point,35,,222,,
Number of Surfaces per Time Point,35,,223,,
Number of Surfaces per Time Point,35,,224,,
Number of Surfaces per Time Point,40,,225,,
Number of Surfaces per Time Point,39,,226,,
Number of Surfaces per Time Point,38,,227,,
Number of Surfaces per Time Point,37,,228,,
Number of Surfaces per Time Point,34,,229,,
Number of Surfaces per Time Point,34,,230,,
Number of Surfaces per Time Point,37,,231,,
Number of Surfaces per Time Point,40,,232,,
Number of Surfaces per Time Point,33,,233,,
Number of Surfaces per Time Point,35,,234,,
Number of Surfaces per Time Point,36,,235,,
Number of Surfaces per Time Point,34,,236,,
Number of Surfaces per Time Point,35,,237,,
Number of Surfaces per Time Point,35,,238,,
Number of Surfaces per Time Point,37,,239,,
Number of Surfaces per Time Point,34,,240,,
Number of Surfaces per Time Point,39,,241,,
Number of Surfaces per Time Point,33,,242,,
Number of Surfaces per Time Point,34,,243,,
Number of Surfaces per Time Point,36,,244,,
Number of Surfaces per Time Point,35,,245,,
Number of Surfaces per Time Point,33,,246,,
Number of Surfaces per Time Point,34,,247,,
Number of Surfaces per Time Point,33,,248,,
Number of Surfaces per Time Point,34,,249,,
Number of Surfaces per Time Point,34,,250,,
Number of Surfaces per Time Point,35,,251,,
Number of Surfaces per Time Point,33,,252,,
Number of Surfaces per Time Point,35,,253,,
Number of Surfaces per Time Point,34,,254,,
Number of Surfaces per Time Point,32,,255,,
Number of Surfaces per Time Point,35,,256,,
Number of Surfaces per Time Point,34,,257,,
Number of Surfaces per Time Point,35,,258,,
Number of Surfaces per Time Point,35,,259,,
Number of Surfaces per Time Point,33,,260,,
Number of Surfaces per Time Point,37,,261,,
Number of Surfaces per Time Point,37,,262,,
Number of Surfaces per Time Point,35,,263,,
Number of Surfaces per Time Point,35,,264,,
Number of Surfaces per Time Point,36,,265,,
Number of Surfaces per Time Point,30,,266,,
Number of Surfaces per Time Point,34,,267,,
Number of Surfaces per Time Point,31,,268,,
Number of Surfaces per Time Point,31,,269,,
Number of Surfaces per Time Point,30,,270,,
Number of Surfaces per Time Point,28,,271,,
Number of Surfaces per Time Point,28,,272,,
Number of Surfaces per Time Point,31,,273,,
Number of Surfaces per Time Point,28,,274,,
Number of Surfaces per Time Point,30,,275,,
Number of Surfaces per Time Point,31,,276,,
Number of Surfaces per Time Point,28,,277,,
Number of Surfaces per Time Point,30,,278,,
Number of Surfaces per Time Point,29,,279,,
Number of Surfaces per Time Point,36,,280,,
Number of Surfaces per Time Point,35,,281,,
Number of Surfaces per Time Point,29,,282,,
Number of Surfaces per Time Point,32,,283,,
Number of Surfaces per Time Point,30,,284,,
Number of Surfaces per Time Point,30,,285,,
Number of Surfaces per Time Point,28,,286,,
Number of Surfaces per Time Point,30,,287,,
Number of Surfaces per Time Point,27,,288,,
Number of Surfaces per Time Point,27,,289,,
Number of Surfaces per Time Point,27,,290,,
Number of Surfaces per Time Point,28,,291,,
Number of Surfaces per Time Point,25,,292,,
Number of Surfaces per Time Point,28,,293,,
Number of Surfaces per Time Point,26,,294,,
Number of Surfaces per Time Point,25,,295,,
Number of Surfaces per Time Point,29,,296,,
Number of Surfaces per Time Point,26,,297,,
Number of Surfaces per Time Point,24,,298,,
Number of Surfaces per Time Point,25,,299,,
Number of Surfaces per Time Point,27,,300,,
Number of Surfaces per Time Point,25,,301,,
Total Number of Disconnected Components,10506,,,,
Total Number of Surfaces,10506,,,,
